"username","source_type","source","html_url","state","created_at","closed_at","repository","title","type"
"adamkucharski","repo","mrc-ide/EpiEstim","https://github.com/mrc-ide/EpiEstim/issues/162","open",2023-09-21 12:28:42,NA,"mrc-ide/EpiEstim","Matching vector lengths to original timeseries","issue"
"adamkucharski","repo","mrc-ide/odin","https://github.com/mrc-ide/odin/issues/316","open",2024-07-25 06:09:08,NA,"mrc-ide/odin","Handing products for multiplicative interventions","issue"
"alxsrobert","repo","alxsrobert/o2geosocial","https://github.com/alxsrobert/o2geosocial/pull/3","closed",2024-06-21 16:55:09,2024-06-21 16:57:31,"alxsrobert/o2geosocial","Fix segmentation fault (in R-devel)","pull_request"
"avallecam","org","r-lib","https://github.com/r-lib/pkgdown/issues/2729","open",2024-07-23 13:28:58,NA,"r-lib/pkgdown","`plot()` outputs require white background (or white lines?) for the dark mode website","issue"
"avallecam","org","ropensci-review-tools","https://github.com/ropensci-review-tools/babeldown/issues/87","open",2025-06-18 11:33:02,NA,"ropensci-review-tools/babeldown","Error `! HTTP 400 Bad Request.` when creating a Spanish to English glossary","pull_request"
"avallecam","org","ropensci-review-tools","https://github.com/ropensci-review-tools/babeldown/pull/86","closed",2025-06-17 11:35:57,NA,"ropensci-review-tools/babeldown","add comment to API URL step","pull_request"
"avallecam","org","ropensci-review-tools","https://github.com/ropensci-review-tools/babeldown/issues/85","closed",2025-06-16 16:31:53,NA,"ropensci-review-tools/babeldown","Error `! HTTP 403 Forbidden.` with an active key","pull_request"
"avallecam","org","carpentries","https://github.com/carpentries/sandpaper-docs/pull/235","closed",2025-06-09 11:57:34,2025-06-09 15:09:52,"carpentries/sandpaper-docs","fix typo","pull_request"
"avallecam","org","carpentries","https://github.com/carpentries/sandpaper-docs/issues/236","open",2025-06-09 11:56:02,2025-06-09 15:09:52,"carpentries/sandpaper-docs","add optional steps to activate workflows and gh-pages after fork a lesson","pull_request"
"avallecam","org","carpentries","https://github.com/carpentries/workbench-template-rmd/pull/84","closed",2025-04-09 14:53:04,2025-06-09 15:09:52,"carpentries/workbench-template-rmd","update code of conduct and reporting links","pull_request"
"avallecam","org","carpentries","https://github.com/carpentries/lesson-development-training/pull/337","closed",2024-02-01 18:37:27,2025-06-09 15:09:52,"carpentries/lesson-development-training","fix icebreaker link","pull_request"
"avallecam","org","carpentries","https://github.com/carpentries/workbench-template-rmd/issues/62","open",2023-12-18 13:10:25,2025-06-09 15:09:52,"carpentries/workbench-template-rmd","add README's to subfolders within `episodes/`","pull_request"
"avallecam","org","carpentries","https://github.com/carpentries/workbench/issues/75","closed",2023-10-27 17:47:19,2025-06-09 15:09:52,"carpentries/workbench","Error: versionSpec parameter is required","pull_request"
"avallecam","org","carpentries","https://github.com/carpentries/sandpaper-docs/issues/169","closed",2023-10-25 16:07:37,2025-06-09 15:09:52,"carpentries/sandpaper-docs","add step to uncheck ""copy the main branch only"" to fork a lesson","pull_request"
"avallecam","org","carpentries","https://github.com/carpentries/workbench/pull/61","closed",2023-06-16 11:29:16,2025-06-09 15:09:52,"carpentries/workbench","replace glossary link in faq file","pull_request"
"avallecam","org","carpentries","https://github.com/carpentries/workbench/issues/60","closed",2023-06-16 11:17:45,2025-06-09 15:09:52,"carpentries/workbench","replace glossary link in faq file","pull_request"
"avallecam","repo","reconhub/incidence","https://github.com/reconhub/incidence/issues/134","closed",2025-04-10 14:10:47,2025-04-10 15:18:44,"reconhub/incidence","on `incidence2` and `simulist` interoperability","pull_request"
"avallecam","repo","reconverse/incidence2","https://github.com/reconverse/incidence2/issues/120","closed",2024-10-06 17:19:54,2024-10-06 18:39:55,"reconverse/incidence2","using `select()` in an `<incidence2>` object drops the `<tibble>` class","issue"
"avallecam","repo","reconverse/incidence2","https://github.com/reconverse/incidence2/issues/113","closed",2024-03-30 13:54:31,2024-10-06 18:39:55,"reconverse/incidence2","NA values in observations cause a value of NA to be returned","issue"
"bahadzie","org","r-lib","https://github.com/r-lib/rig/pull/283","closed",2025-05-22 11:48:45,2025-05-22 14:07:51,"r-lib/rig","fix: minor typos in README.Rmd and faq.Rmd","pull_request"
"bahadzie","org","r-lib","https://github.com/r-lib/rig/issues/282","closed",2025-05-22 11:46:09,2025-05-22 14:07:51,"r-lib/rig","Minor typos in `README.Rmd` and `faq.Rmd`","pull_request"
"bahadzie","org","r-lib","https://github.com/r-lib/pkgcache/pull/100","closed",2023-09-11 00:39:02,2025-05-22 14:07:51,"r-lib/pkgcache","Patch-1","pull_request"
"bahadzie","org","r-lib","https://github.com/r-lib/actions/pull/757","closed",2023-09-02 02:03:27,2025-05-22 14:07:51,"r-lib/actions","Update setup-pandoc.ts to install linux arm64","pull_request"
"bahadzie","org","r-lib","https://github.com/r-lib/roxygen2/pull/1500","closed",2023-07-07 13:31:11,2025-05-22 14:07:51,"r-lib/roxygen2","Minor typos in documentation","pull_request"
"bahadzie","org","r-lib","https://github.com/r-lib/roxygen2/issues/1498","closed",2023-07-07 13:28:41,2025-05-22 14:07:51,"r-lib/roxygen2","Minor typos in documentation","pull_request"
